GOESDEC,ACTIVE, RTCNAME, S_OFV, S_ONV, S_NV, S_TTMODE, S_RTFV, S_OTC, S_TBV, S_DTFMT, S_DTSIZE, S_BID, S_BIDCNT, R_OFV, R_ONV, R_NV, R_TTMODE, R_RTFV, R_OTC, R_TBV, R_DTFMT, R_DTSIZE, R_BID, R_BIDCNT, EDITDATE, OWNER,                                                                                                                                                                                       
ADATUNCOCH,1,,4,3,16,R,-11,0,-15,B,3,,0,1,2,1,I,0,0,-15,B,3,,0,02-DEC-2014 13:05:03.14,LDEAVILA,                                                                                                                                                                                                                                                                                                                
ADAWPLCOCH,1,,52,3,16,R,-10,0,-15,B,3,,0,0,0,0,I,0,0,0,,0,,0,15-FEB-2011 16:25:11.01,RMICHEL,                                                                                                                                                                                                                                                                                                                   
ADNE    CH,1,,4,3,8,R,-12,0,-15,B,3,,0,2,3,1,I,0,-1,-15,B,3,D,1,18-JAN-2008 10:15:47.70,RMICHEL,                                                                                                                                                                                                                                                                                                                
AGR     FB,1,,4,3,8,R,-3,0,-15,B,3,,0,2,3,3,I,0,-1,-15,T,3,,0,13-MAR-2014 08:39:48.29,RMICHEL,                                                                                                                                                                                                                                                                                                                  
AGR     GH,1,,28,3,8,R,-3,0,-15,B,3,,0,11,3,0,I,0,-4,-15,T,3,,0,13-MAR-2014 08:41:32.63,RMICHEL,                                                                                                                                                                                                                                                                                                                
AGR     PC,1,,76,3,8,R,-3,0,-15,B,3,,0,0,0,0,I,0,0,0,,0,,0,07-OCT-2011 12:56:40.54,RMICHEL,                                                                                                                                                                                                                                                                                                                     
AGR     QC,1,,52,3,8,R,-3,0,-15,B,3,,0,5,6,0,I,0,-4,-15,B,3,,0,07-OCT-2011 12:57:44.15,RMICHEL,                                                                                                                                                                                                                                                                                                                 
AINE    CH,1,,4,3,8,R,-6,0,-15,B,3,,0,2,3,4,I,0,-1,-15,B,3,D,1,18-NOV-2009 14:24:54.72,RMICHEL,                                                                                                                                                                                                                                                                                                                 
ALCR    FB,1,,4,3,8,R,-12,0,-15,B,3,,0,9,3,1,I,0,-1,-15,B,3,,0,10-FEB-2010 09:15:55.12,LDEAVILA,                                                                                                                                                                                                                                                                                                                
ALFVALMTCH,1,,16,3,4,R,-1,0,-15,T,3,,0,0,0,0,I,0,0,0,,0,,0,14-JUL-2009 12:41:14.43,NPHELPS,                                                                                                                                                                                                                                                                                                                     
ALFVALMTVEL,1,,28,3,4,R,-1,0,-15,T,3,,0,0,0,0,I,0,0,0,B,3,D,0,02-JUL-2009 07:31:26.58,NPHELPS,                                                                                                                                                                                                                                                                                                                  
ALFVALMTWF,1,,4,3,4,R,-1,0,-15,T,3,,0,5,6,3,I,0,-4,-15,B,3,D,1,02-JUL-2009 07:30:59.45,NPHELPS,                                                                                                                                                                                                                                                                                                                 
